City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
209,Macia,MZ,67.57,clear sky,-25.0269,33.0989,Hotel Taskin Macia
212,Hami,CN,79.36,clear sky,42.8,93.45,Laoyutang Resort
214,Yarmouth,US,78.15,clear sky,41.7057,-70.2286,Blue Rock Resort
215,Bethel,US,78.04,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
219,Bandarbeyla,SO,79.57,scattered clouds,9.4942,50.8122,JABIR HOTEL
221,Vilhena,BR,80.6,broken clouds,-12.7406,-60.1458,Hotel Mirage
222,Mogadishu,SO,79.34,light rain,2.0371,45.3438,Hotel Juba
224,Waingapu,ID,76.96,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
226,Hirara,JP,80.73,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
229,Grand Forks,US,73.78,overcast clouds,47.9417,-97.4337,Warrior Inn
234,Kahului,US,79.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
235,Rajapalaiyam,IN,81.86,broken clouds,9.45,77.5667,Hotel Amil
239,Pran Buri,TH,79.92,overcast clouds,12.3847,99.9098,Waterside Resort
243,Eirunepe,BR,82.85,scattered clouds,-6.6603,-69.8736,Atrás de você
244,Seoul,KR,65.59,scattered clouds,37.5683,126.9778,롯데호텔 서울
247,Zhezkazgan,KZ,69.37,few clouds,47.8043,67.7144,Hotel Zumrat
249,Gallup,US,71.44,clear sky,35.5281,-108.7426,Quality Inn & Suites Gallup I-40 Exit 20
250,Halifax,CA,75.69,broken clouds,44.6453,-63.5724,Hotel Halifax and Hotel Barrington
252,Nouadhibou,MR,66.69,clear sky,20.931,-17.0347,El Medina
253,San Quintin,MX,65.95,scattered clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
257,Muros,ES,66.09,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
259,San Lawrenz,MT,72.86,clear sky,36.0553,14.204,San Andrea Hotel
260,Mangan,IN,74.08,overcast clouds,27.5167,88.5333,Hotel Mout View
262,Half Moon Bay,US,72.59,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
266,Lorengau,PG,80.01,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
270,Korla,CN,79.03,overcast clouds,41.7597,86.1469,Gulisitan Hotel
273,Forrest City,US,82.06,clear sky,35.0081,-90.7898,Hampton Inn Forrest City
276,Ianca,RO,67.05,broken clouds,45.1333,27.45,minuta vidrascu
279,Sola,VU,80.33,few clouds,-13.8833,167.55,Leumerus Bungalows
280,Saint-Joseph,RE,70.18,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
281,Kavaratti,IN,82.87,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
288,Algiers,DZ,80.42,broken clouds,36.7525,3.042,Sofitel Algiers Hamma Garden
290,Alexandria,EG,77.34,clear sky,31.2156,29.9553,Royal Crown Hotel
293,Zhuhai,CN,83.86,few clouds,22.2769,113.5678,珠海粤财假日酒店
301,Zadar,HR,66.81,broken clouds,44.1197,15.2422,Hotel Kolovare
302,Port Blair,IN,81.64,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
303,Storm Lake,US,82.62,clear sky,42.6411,-95.2097,King's Pointe Resort
305,Lakatoro,VU,77.94,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
306,Bonanza,NI,82.35,broken clouds,14.0289,-84.591,Edificio Administrativo HEMCO
307,Tevaitoa,PF,80.38,clear sky,-16.7833,-151.5,Hôtel Raiatea Lodge
308,Manaus,BR,79.3,moderate rain,-3.1019,-60.025,Manaus Hotéis Millennium
311,Namibe,AO,66.38,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
313,Sao Filipe,CV,75.45,few clouds,14.8961,-24.4956,Hotel Xaguate
315,Bismarck,US,71.44,broken clouds,46.8083,-100.7837,Ramkota Hotel & Conference Center
318,Guerrero Negro,MX,68.02,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
324,Tagusao,PH,79.68,overcast clouds,9.1924,117.8141,Green Villa beach resort
325,Itarema,BR,82.69,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
326,Alofi,NU,79.05,overcast clouds,-19.0595,-169.9187,Taloa Heights
327,Marsala,IT,73.94,clear sky,37.7966,12.4352,Villa Favorita Hotel e Resort
328,Morondava,MG,76.57,clear sky,-20.2833,44.2833,La Case Bambou
332,Southbridge,US,78.42,few clouds,42.0751,-72.0334,Southbridge Hotel & Conference Center
333,Chernyy Yar,RU,71.2,clear sky,48.0624,46.1091,Stanitsa Chernoyarskaya
336,Ionia,US,80.94,clear sky,42.9873,-85.0711,American Inn & Suites
337,Monrovia,LR,80.76,moderate rain,6.3005,-10.7969,Sunset Inn
338,Braganca,BR,82.69,overcast clouds,-1.0536,-46.7656,Marujo's Suíte Hotel
340,Farafangana,MG,69.03,overcast clouds,-22.8167,47.8333,Miarina
344,Inongo,CD,73.54,scattered clouds,-1.95,18.2667,Hotel Du Lac
345,Fukue,JP,68.05,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
351,Katsuura,JP,67.3,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
356,Porto Novo,BJ,80.91,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
359,Lima,PE,66.45,clear sky,-12.0432,-77.0282,Hotel Kamana
360,Meulaboh,ID,77.0,overcast clouds,4.1363,96.1285,Kost Pria
363,Kabinda,CD,72.27,overcast clouds,-6.1333,24.4833,Village Mianda Mutole
364,Policarpa,CO,80.83,light rain,1.6323,-77.462,Hotel Figueroa
366,Nantucket,US,73.51,clear sky,41.2835,-70.0995,Jared Coffin House
370,Luang Prabang,LA,74.23,broken clouds,19.8856,102.1347,The Apsara
373,Lahaina,US,80.8,overcast clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
