City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Puerto Ayora,EC,-0.7393,-90.3518,76.96,75,99,8.79,overcast clouds
1,Castro,BR,-24.7911,-50.0119,73.56,52,3,11.7,clear sky
2,Mataura,NZ,-46.1927,168.8643,39.47,88,100,3.51,overcast clouds
3,Hilo,US,19.7297,-155.09,84.27,99,100,1.01,overcast clouds
4,Gornopravdinsk,RU,60.05,69.9,52.0,93,100,10.94,overcast clouds
5,Illela,NG,13.7292,5.2975,97.93,23,49,8.77,scattered clouds
6,Tessalit,ML,20.1986,1.0114,105.08,8,37,8.81,scattered clouds
7,San Andres,CO,12.5847,-81.7006,87.82,74,40,11.5,scattered clouds
8,Natal,BR,-5.795,-35.2094,84.85,74,40,9.22,scattered clouds
9,Mgandu,TZ,-5.95,34.1333,68.32,52,97,4.41,overcast clouds
10,Hermanus,ZA,-34.4187,19.2345,57.78,59,25,9.1,scattered clouds
11,Punta Arenas,CL,-53.15,-70.9167,44.71,65,0,19.57,clear sky
12,Palmer,US,42.1584,-72.3287,78.15,43,19,1.99,few clouds
13,Saint-Philippe,RE,-21.3585,55.7679,71.19,63,84,14.05,broken clouds
14,Rikitea,PF,-23.1203,-134.9692,76.08,66,76,10.67,broken clouds
15,Bredasdorp,ZA,-34.5322,20.0403,52.86,59,11,7.31,few clouds
16,Ostrovnoy,RU,68.0531,39.5131,37.67,87,24,15.39,few clouds
17,Kapaa,US,22.0752,-159.319,75.18,97,100,7.09,overcast clouds
18,San Patricio,US,28.017,-97.5169,92.12,40,9,20.0,clear sky
19,Daund,IN,18.4667,74.6,79.74,63,0,18.92,clear sky
20,Ushuaia,AR,-54.8,-68.3,38.86,81,100,24.16,light intensity drizzle
21,Bluff,NZ,-46.6,168.3333,39.79,77,100,8.59,overcast clouds
22,Ryotsu,JP,38.0833,138.4333,62.01,88,12,3.65,few clouds
23,Kaitangata,NZ,-46.2817,169.8464,46.35,87,100,9.31,overcast clouds
24,Lasa,IT,46.6166,10.7002,51.37,88,98,3.09,overcast clouds
25,Caravelas,BR,-17.7125,-39.2481,78.46,72,54,6.8,broken clouds
26,Hithadhoo,MV,-0.6,73.0833,83.44,73,93,10.67,overcast clouds
27,Moose Factory,CA,51.2585,-80.6094,58.5,33,79,10.13,broken clouds
28,Lebu,CL,-37.6167,-73.65,49.06,61,75,13.65,broken clouds
29,Hobart,AU,-42.8794,147.3294,44.28,91,92,6.91,overcast clouds
30,Pisco,PE,-13.7,-76.2167,66.02,77,1,6.73,clear sky
31,Dhidhdhoo,MV,6.8833,73.1,82.6,76,100,14.25,overcast clouds
32,Chapais,CA,49.7834,-74.8492,64.33,22,11,12.33,few clouds
33,Saint George,US,37.1041,-113.5841,80.64,12,0,13.8,clear sky
34,Busselton,AU,-33.65,115.3333,54.91,75,100,5.28,overcast clouds
35,Cherskiy,RU,68.75,161.3,40.19,56,78,5.3,broken clouds
36,Vaini,TO,-21.2,-175.2,77.16,94,75,5.75,broken clouds
37,Krasnoselkup,RU,65.7,82.4667,43.0,62,0,17.13,clear sky
38,Albany,US,42.6001,-73.9662,77.77,42,10,3.24,clear sky
39,Moctezuma,MX,29.8,-109.6667,90.36,12,77,19.01,broken clouds
40,Yellowknife,CA,62.456,-114.3525,52.32,35,20,11.5,few clouds
41,Tasiilaq,GL,65.6145,-37.6368,36.32,99,100,6.67,overcast clouds
42,Hofn,IS,64.2539,-15.2082,47.95,75,5,9.08,clear sky
43,Havelock,US,34.8791,-76.9013,82.98,75,4,3.0,clear sky
44,Port Alfred,ZA,-33.5906,26.891,54.18,73,70,7.0,broken clouds
45,Norman Wells,CA,65.282,-126.8329,55.76,45,97,2.37,overcast clouds
